text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,
RT @Install8ion: Ride the #digitalsignage wave all the way from #ISE16 to #DSE16 with a quick webinar https://t.co/HLvd5ogECH,FALSE,0,NA,2/19/2016 14:11,FALSE,NA,7.00684E+17,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",MarkRan78,1,TRUE,FALSE,NA,NA,
Ride the #digitalsignage wave all the way from #ISE16 to #DSE16 with a quick webinar https://t.co/HLvd5ogECH,FALSE,0,NA,2/19/2016 14:00,FALSE,NA,7.00681E+17,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Install8ion,1,FALSE,FALSE,NA,NA,
RT @DigiSignageMag: Ride the #digitalsignage wave from #ISE16 to #DSE16 with a quick webinar https://t.co/JVFT7dcmxL #proAV @NEC_Display @Pâ€¦,FALSE,0,NA,2/19/2016 4:17,FALSE,NA,7.00535E+17,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",charlenewan,2,TRUE,FALSE,NA,NA,
#DSE16  Our table poses a question-is data driven double loop feedback feasible in existing educational culture?,FALSE,0,NA,2/19/2016 2:26,FALSE,NA,7.00507E+17,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",EllenModlin,0,FALSE,FALSE,NA,NA,
Ride the #digitalsignage wave all the way from #ISE16 to #DSE16 with a quick webinar https://t.co/3zKc5rXluN,FALSE,0,NA,2/19/2016 0:16,FALSE,NA,7.00474E+17,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",AVTechnologyMag,0,FALSE,FALSE,NA,NA,
i wonder what the data will show if quizzes were more common but not part of a student's assessment #DSE16 https://t.co/WIX60MHLo3,FALSE,1,NA,2/18/2016 23:20,FALSE,NA,7.0046E+17,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",steveji823,0,FALSE,FALSE,NA,NA,
Ride the #digitalsignage wave from #ISE16 to #DSE16 with a quick webinar https://t.co/JVFT7dcmxL #proAV @NEC_Display @PeerlessAV,FALSE,1,NA,2/18/2016 23:13,FALSE,NA,7.00458E+17,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",DigiSignageMag,2,FALSE,FALSE,NA,NA,
How I read the article; maybe the force is myself #fightSubjectiveSelf #dse16,FALSE,0,NA,2/18/2016 22:42,FALSE,NA,7.0045E+17,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",ak3860,0,FALSE,FALSE,NA,NA,
"as is for any paid research, the force (i.e., stakeholders, funding change) seems to have influenced data that wrangler gathered. #dse16",FALSE,0,NA,2/18/2016 22:22,FALSE,NA,7.00445E+17,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",ak3860,0,FALSE,FALSE,NA,NA,
"#dse16 The key question is not how to gather data, but how to make sense of the data, especially for educational purpose.",FALSE,0,NA,2/18/2016 22:17,FALSE,NA,7.00444E+17,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",maggiilee,0,FALSE,FALSE,NA,NA,
Question: What do you think about the considerations on page four? #DSE16 https://t.co/AEk5nOsKUK https://t.co/6PTuSgQauO,FALSE,0,NA,2/18/2016 22:08,FALSE,NA,7.00442E+17,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Himes_Resekzas,0,FALSE,FALSE,NA,NA,
This paper helps me better understand data wranglers' job and how do they help in the process of improving education institutions. #dse16,FALSE,0,NA,2/18/2016 21:59,FALSE,NA,7.00439E+17,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Fengmei_L,0,FALSE,FALSE,NA,NA,
"Does anyone know how to work the final step of this weekâ€™s homework, i.e. plot() and cor.test()? No example or instruction found. #DSE16",FALSE,0,NA,2/18/2016 21:57,FALSE,NA,7.00439E+17,NA,"<a href=\http://itunes.apple.com/us/app/twitter/id409789998?mt=12\"" rel=\""nofollow\"">Twitter for Mac</a>""",edison890424,0,FALSE,FALSE,NA,NA,
#DSE16 is a backchannel/homework for my Data Science Class at NYU. IN CASE ANYONE WANTED TO KNOW.,FALSE,1,NA,2/18/2016 20:46,FALSE,NA,7.00421E+17,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",claireninja,0,FALSE,FALSE,NA,NA,
"Designing a data gathering, tidying, synthesizing and application process is the same as product development, in a way. Iteration.  #DSE16",FALSE,1,NA,2/18/2016 20:41,FALSE,NA,7.0042E+17,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",claireninja,0,FALSE,FALSE,NA,NA,
https://t.co/jRfBc0R1Ak Interesting how this paper argues a SCRUM approach to data analytics! #DSE16,FALSE,0,NA,2/18/2016 20:40,FALSE,NA,7.0042E+17,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",claireninja,0,FALSE,FALSE,NA,NA,
