"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"For many points of data, why couldn’t de-identified data provide the benefits school systems need and the privacy parents want? #DSE16",FALSE,1,NA,2016-02-05 04:03:55,FALSE,NA,"695382304470884352",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","dat_sci_student",0,FALSE,FALSE,NA,NA
"\Educate\ parents means make them understand how data analysis works- how their info would be rightfully stored and analyzed #DSE16",FALSE,0,NA,2016-02-05 04:03:26,FALSE,NA,"695382184165683200",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","hsiaoanwu",0,FALSE,FALSE,NA,NA
"Comments suggesting the opposite position by frightened parents reminded us that educate parents is crucial to collect useful data #DSE16",FALSE,1,NA,2016-02-05 03:58:23,FALSE,NA,"695380910372356096",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","hsiaoanwu",0,FALSE,FALSE,NA,NA
"#DSE16 #educational_data ������������ https://t.co/Z2C9BgzNDN",FALSE,0,NA,2016-02-05 03:55:32,FALSE,NA,"695380193297305600",NA,"<a href=\http://itunes.apple.com/us/app/twitter/id409789998?mt=12\ rel=\nofollow\>Twitter for Mac</a>","pointhan",0,FALSE,FALSE,NA,NA
"Through data analysis, educator's might gain more senses about modifing their delivering ways and make more customized teaching plan #DSE16",FALSE,0,NA,2016-02-05 03:39:14,FALSE,NA,"695376093050605568",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","hsiaoanwu",0,FALSE,FALSE,NA,NA
"I agree with the argument that \Opting Out of Student Data Collection Isn’t the Solution\#DSE16",FALSE,0,NA,2016-02-05 03:33:16,FALSE,NA,"695374589283553280",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","hsiaoanwu",0,FALSE,FALSE,NA,NA
"I thought maybe it is not enough telling parents how information can be abused, but explaining how they can be protected as well? #DSE16",FALSE,0,NA,2016-02-05 03:08:05,FALSE,NA,"695368251635736576",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","RuiSuYC",0,FALSE,FALSE,NA,NA
"EdSurge: there should be more correspondents between parents and policymakers who can explain hand-in-hand the purpose of data, #DSE16",FALSE,0,NA,2016-02-05 03:02:23,FALSE,NA,"695366819666796544",NA,"<a href=\https://mobile.twitter.com\ rel=\nofollow\>Mobile Web (M5)</a>","ak3860",0,FALSE,FALSE,NA,NA
"Article also highlights how new and unformed this field is right now. Future so bright! B-) (emoji w. sunglasses)? #DSE16",FALSE,0,NA,2016-02-05 05:56:28,FALSE,NA,"695335132148838400",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","claireninja",0,FALSE,FALSE,NA,NA
"Re: students owning their own data profile. Might take away some of the fear/anxiety around privacy concerns &amp; personal data mining #DSE16",FALSE,0,NA,2016-02-05 05:55:00,FALSE,NA,"695334760583974912",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","claireninja",0,FALSE,FALSE,NA,NA
